ArrivalTime;ItemType;ExternalDueDate
0;19;6720
0;19;11520
0;15;7680
0;15;7680
0;15;7680
0;10;8640
0;10;7680
0;10;7680
0;9;6720
0;9;11520
0;9;10560
0;7;7680
0;6;8640
0;6;6720
0;6;10560
0;5;7680
0;4;6720
0;4;9600
0;4;9600
0;3;6720
0;2;8640
0;2;8640
0;2;6720
0;2;6720
0;1;6720
0;1;7680
0;1;6720
0;1;6720
5;2;6720
18;2;6720
158;20;8640
192;19;9600
239;1;6720
253;19;6720
344;2;8640
353;19;10560
367;19;6720
434;10;7680
597;23;12480
629;3;8640
652;10;7680
693;5;7680
817;1;7680
879;6;7680
909;2;6720
917;1;7680
971;19;7680
989;1;6720
993;2;13440
1002;23;7680
1101;1;7680
1120;2;8640
1196;10;8640
1281;4;9600
1288;1;7680
1369;2;9600
1398;2;6720
1428;2;6720
1433;19;6720
1517;23;6720
1539;16;7680
1575;3;10560
1595;1;6720
1598;4;6720
1605;23;6720
1642;10;8640
1685;4;6720
1727;9;6720
1819;1;6720
1837;2;7680
1837;1;7680
1969;4;6720
1980;2;6720
2005;2;9600
2054;2;8640
2072;19;7680
2087;2;8640
2107;8;7680
2118;5;6720
2141;18;10560
2148;19;9600
2193;10;8640
2197;1;6720
2233;19;6720
2304;1;11520
2322;10;9600
2374;22;9600
2441;3;8640
2538;18;11520
2561;16;8640
2572;10;7680
2582;10;7680
2650;10;7680
2658;1;7680
2668;6;7680
2673;5;6720
2698;2;8640
2717;1;6720
2733;23;8640
2748;6;8640
2813;4;6720
2814;2;7680
2835;17;8640
2853;19;7680
2855;2;11520
2867;6;8640
2917;2;8640
2943;19;10560
2948;1;7680
2954;10;8640
2972;23;8640
2994;1;6720
3016;10;7680
3038;23;9600
3069;1;6720
3081;2;8640
3089;19;6720
3122;10;7680
3131;23;10560
3146;1;6720
3174;10;7680
3214;1;7680
3246;6;7680
3253;10;12480
3254;5;11520
3276;2;8640
3284;4;6720
3302;19;7680
3302;1;14400
3353;4;6720
3447;18;7680
3467;5;7680
3518;1;6720
3526;19;9600
3554;18;10560
3577;14;11520
3592;19;10560
3594;17;6720
3602;23;8640
3641;2;8640
3669;2;6720
3727;1;6720
3737;19;6720
3750;4;12480
3765;6;7680
3827;10;7680
3830;2;7680
3848;14;6720
3854;2;8640
3928;1;7680
3939;2;9600
3943;10;11520
3960;10;7680
3990;19;6720
4036;2;8640
4043;2;8640
4080;4;9600
4112;4;12480
4118;2;7680
4139;1;12480
4170;20;8640
4170;2;8640
4171;6;8640
4189;1;9600
4197;2;8640
4219;19;10560
4249;14;11520
4263;1;11520
4271;2;8640
4282;2;6720
4299;19;10560
4304;2;13440
4329;2;6720
4347;10;7680
4367;7;14400
4375;13;9600
4376;19;6720
4387;2;6720
4451;22;9600
4471;2;8640
4523;1;12480
4531;1;13440
4554;18;10560
4567;23;8640
4567;19;6720
4571;1;6720
4587;1;16320
4611;10;7680
4613;5;7680
4707;8;7680
4720;2;8640
4730;18;10560
4745;7;7680
4787;10;8640
4810;1;13440
4845;19;11520
4914;2;9600
4979;1;9600
5007;23;10560
5023;23;8640
5035;2;8640
5066;1;12480
5071;3;10560
5073;6;7680
5077;23;10560
5082;19;7680
5106;10;13440
5134;4;14400
5140;6;14400
5151;1;7680
5178;8;7680
5178;1;12480
5188;4;14400
5232;19;9600
5257;9;12480
5270;2;8640
5279;22;10560
5291;23;10560
5349;2;7680
5355;9;10560
5373;2;8640
5382;2;8640
5415;19;10560
5492;6;10560
5502;9;11520
5506;1;13440
5528;4;12480
5537;18;10560
5581;3;8640
5585;2;8640
5619;1;9600
5657;6;8640
5658;2;8640
5711;3;8640
5715;19;9600
5828;6;10560
5847;2;8640
5854;20;9600
5906;4;9600
5926;2;8640
5932;2;11520
5967;1;9600
6023;22;8640
6104;2;13440
6130;7;9600
6132;2;11520
6134;2;8640
6190;10;11520
6191;10;11520
6354;3;8640
6363;1;9600
6408;19;9600
6416;1;17280
6422;9;8640
6448;1;11520
6474;10;9600
6491;2;13440
6501;6;13440
6522;23;8640
6541;2;11520
6543;18;11520
6634;19;11520
6634;19;11520
6641;9;8640
6643;9;11520
6661;12;12480
6669;1;11520
6674;2;8640
6691;9;12480
6719;2;8640
6722;4;12480
6727;5;11520
6756;10;15360
6767;10;12480
6793;19;10560
6798;19;10560
6798;4;14400
6798;2;11520
6802;1;11520
6850;19;10560
6865;6;12480
6909;22;9600
6916;18;13440
6948;1;11520
7105;19;10560
7146;2;15360
7171;23;10560
7269;2;11520
7284;4;12480
7396;2;13440
7407;16;9600
7442;2;9600
7508;1;12480
7516;9;12480
7523;12;12480
7528;2;13440
7575;2;13440
7575;1;13440
7633;1;12480
7661;1;13440
7716;18;17280
7723;19;10560
7857;19;11520
7861;2;15360
7863;2;11520
7913;12;10560
7950;10;15360
7966;2;13440
7983;6;13440
7985;6;13440
8003;4;11520
8040;1;12480
8066;4;11520
8069;1;16320
8135;2;15360
8143;1;16320
8151;10;15360
8152;9;15360
8228;1;13440
8255;19;10560
8261;10;15360
8269;19;16320
8290;1;13440
8323;2;15360
8358;12;17280
8432;1;20160
8441;1;16320
8449;10;16320
8475;1;14400
8640;1;11520
8668;18;12480
8762;18;11520
8770;6;13440
8792;16;15360
8799;2;11520
8803;2;15360
8809;1;18240
8812;1;12480
8850;10;11520
8863;11;11520
8896;1;13440
8970;2;13440
8974;9;18240
8979;4;11520
9022;1;12480
9040;18;12480
9044;10;12480
9049;9;15360
9067;1;14400
9123;2;13440
9142;1;16320
9147;10;15360
9148;10;13440
9170;10;11520
9189;1;12480
9223;10;16320
9241;1;13440
9256;1;11520
9284;23;16320
9343;12;20160
9362;1;11520
9391;6;14400
9395;5;14400
9476;1;13440
9500;1;12480
9520;1;12480
9525;1;14400
9625;9;15360
9638;1;21120
9649;6;12480
9676;12;12480
9690;15;13440
9710;4;13440
9741;23;19200
9773;2;17280
9875;2;18240
9883;1;13440
10013;1;12480
10037;1;16320
10040;2;13440
10075;4;16320
10160;19;16320
10164;1;13440
10197;10;13440
10257;1;20160
10325;1;13440
10341;1;12480
10373;1;16320
10390;1;14400
10410;1;12480
